title,company,location,salary_min,salary_max,description
Business Data Analyst,MCS Group,"Belfast, Northern Ireland",44025.0,44025.0,"MCS Group has an exclusive long-term (1 year) temporary assignment available for a Business Analyst in Belfast. This Business Analyst will join a nationwide client, on-site at their Belfast location. This is a critical technical specialist role focused on developing, maintaining, and assuring the data structures and applications that underpin effective asset management and corporate decision-making. Key Responsibilities As our Business Intelligence Analyst, you will be responsible for a blend o…"
Business Data Analyst,MCS Group,"Belfast, Northern Ireland",44025.0,44025.0,"MCS Group has an exclusive logn-term (1 year) temporary assignment available for a Business Analyst in Belfast. This Business Analyst will join a nationwide client, on-site at their Belfast location. This is a critical technical specialist role focused on developing, maintaining, and assuring the data structures and applications that underpin effective asset management and corporate decision-making. Key Responsibilities As our Business Intelligence Analyst, you will be responsible for a blend o…"
Data Analyst Trainee,ITOL Recruit,"Cardiff County, Wales",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Please note this career program is designed for entry level individuals with limited or no experience, so please do not apply if you are already an experience Data Analyst as we will be looking primarily at entry level roles. Demand for Data Analysts has …"
Data Analyst Trainee,ITOL Recruit,"Plymouth, South West England",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"London, UK",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"Wolverhampton, West Midlands",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"Bristol, South West England",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Stockport, Greater Manchester",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Romford, Essex",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Brighton, East Sussex",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Grimsby, North East Lincolnshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"York, North Yorkshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
