title,company,location,salary_min,salary_max,description
Data Analyst - No experience needed - job guarantee,Newto Training,UK,25000.0,78000.0,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…"
Data Analyst,Harvey Nash,"Belfast, Northern Ireland",91000.0,97500.0,"Data Analyst - Tier 1 Bank £375 P/D via umbrella Initial contract to 15/12/26 Belfast - Hybrid (3 days per week on site) Please note that only candidates who live in Northern Ireland will be considered This role will play a key part in a major global transformation programme focused on migrating Fixed Income bond analytics from legacy platforms to strategic risk and analytics systems. The position involves managing the onboarding of countries and branches onto new analytics platforms, performin…"
Data Analyst,CODEVERSE LIMITED,"London, UK",35000.0,35000.0,"We are currently recruiting for a Junior Data Engineer / Data Analyst (Hybrid Role) Location: Hybrid – On-site London 2 days per week Role Overview We are looking for a Junior Data Engineer / Data Analyst to join our team. Our streams pair a Data Analyst with a Data Engineer, and because these roles overlap, the ideal candidate possesses a hybrid profile of both skill sets (with a preference toward data engineering). Core Responsibilities Focus on core data tasks, specifically data mapping and …"
Data Analyst,Elevation Recruitment Group,"Leeds, West Yorkshire",45000.0,54000.0,"Data Analyst Location: West Yorkshire / Leeds (Hybrid Working) Salary: £45,000 - £54,000  Bonus  Excellent Benefits Are you a Data Analyst who enjoys turning complex data into meaningful business insight? We're supporting a major Yorkshire-based organisation as they continue to invest in their data and reporting capabilities. As part of an ongoing transformation programme, they're looking to appoint a Data Analyst to help drive smarter decision-making through improved analytics, reporting and v…"
Data Analyst,Hays Specialist Recruitment Limited,"Bedford, Bedfordshire",40000.0,50000.0,"Your new company You will be joining a well-established and growing organisation that places technology and data at the centre of its operational strategy. The business has a strong reputation for innovation and continuous improvement, offering a collaborative environment where systems and process optimisation are actively encouraged. Your new role We are currently recruiting for a Data Analyst to support the IT Manager and wider business prepare for a large data migration project and to suppor…"
Data Analyst,Asset Resourcing Limited,"Leicester, Leicestershire",35000.0,35000.0,"Digital Data Analyst, E-Commerce - £35,000 - Leicester (Hybrid, 2 days in office) This is a varied analyst role sitting within a small, close-knit E-Commerce team, reporting directly to the Head of E-Commerce. If you enjoy having your hands in multiple projects at once and like the autonomy to manage your own day, it's worth reading on. What the role involves: You'll be pulling data from a range of digital platforms, cleaning it, and turning it into something useful. That means regular reportin…"
Data Analyst,G-Research,"London, UK",51993.86,51993.86,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…"
Master Data Analyst,MCS Group,"Belfast, Northern Ireland",40000.0,40000.0,"Master Data Analyst - Belfast (Exclusive) MCS Group are delighted to be exclusively partnering with a global manufacturing organisation to recruit a Master Data Analyst to join their growing finance function in Belfast. The Company: Our client is a global, high-growth manufacturing business operating across the Americas, EMEA and APAC regions. The company is at the forefront of technological innovation and sustainability, supporting industries focused on energy efficiency and the transition to …"
Renewable & Data Analyst,CPL,"Belfast, Northern Ireland",45000.0,45000.0,"Renewable & Data Analyst Location: Belfast (Hybrid 3 days office / 2 days home) Salary: £41,000 £48,000  bonus  excellent benefits Our client, a leading organisation within the energy sector, is seeking a Renewable & Data Analyst to support renewable energy reporting, data analysis and business intelligence activities. As part of ongoing investment in renewable energy and data-driven decision-making, they are seeking a talented Renewable & Data Analyst to join their Commercial team. Duties: *Ex…"
Business Data Analyst,MCS Group,"Belfast, Northern Ireland",44025.0,44025.0,"MCS Group has an exclusive logn-term (1 year) temporary assignment available for a Business Analyst in Belfast. This Business Analyst will join a nationwide client, on-site at their Belfast location. This is a critical technical specialist role focused on developing, maintaining, and assuring the data structures and applications that underpin effective asset management and corporate decision-making. Key Responsibilities As our Business Intelligence Analyst, you will be responsible for a blend o…"
Business Data Analyst,MCS Group,"Belfast, Northern Ireland",44025.0,44025.0,"MCS Group has an exclusive long-term (1 year) temporary assignment available for a Business Analyst in Belfast. This Business Analyst will join a nationwide client, on-site at their Belfast location. This is a critical technical specialist role focused on developing, maintaining, and assuring the data structures and applications that underpin effective asset management and corporate decision-making. Key Responsibilities As our Business Intelligence Analyst, you will be responsible for a blend o…"
Data Analyst Trainee,ITOL Recruit,"Cardiff County, Wales",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Please note this career program is designed for entry level individuals with limited or no experience, so please do not apply if you are already an experience Data Analyst as we will be looking primarily at entry level roles. Demand for Data Analysts has …"
Data Analyst Trainee,ITOL Recruit,"Plymouth, South West England",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"London, UK",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"Wolverhampton, West Midlands",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"London, UK",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…"
Data Analyst Trainee,ITOL Recruit,"Bristol, South West England",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Stockport, Greater Manchester",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Romford, Essex",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Brighton, East Sussex",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Grimsby, North East Lincolnshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"York, North Yorkshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Trainee Data Analyst,ITOL Recruit,"Leeds, West Yorkshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Blackburn, Lancashire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Trainee Data Analyst,ITOL Recruit,"Uxbridge, London",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Nottingham, Nottinghamshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"St. Helens, Merseyside",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Sutton Green, Guildford",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Burnley, Lancashire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"Stoke-On-Trent, Staffordshire",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst Trainee,ITOL Recruit,"London, UK",30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
